productname,productid,productimage1
Bạc hà,217b798b-e613-45cb-9f8f-046b0bf61dff,https://th.bing.com/th/id/OIP.DB59J8rohHpOuSKNgRALqwAAAA?rs=1&pid=ImgDetMain
Cà chua,9707b860-f329-419d-acb2-9113a142b7f2,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FC%C3%A0%20chua%2F5b2cbe3f-bac9-4fd8-8d0f-7e21399e88dc?alt=media&token=7ecda4c6-3eef-423a-b455-082ced21b997
Gạo thơm thái,b1955c4b-f011-4fd3-b92e-a38a92955a50,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FG%E1%BA%A1o%20ST25%2F2891efc4-a0f7-4b9b-9510-8df48dbfdd21?alt=media&token=fff7c30f-0a37-4667-8ecd-2d1de5fb73bd
Cải Thảo,997fa52b-548d-437e-a183-9ba64cff62ac,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Categories%2FRau%2Fcaithao%2Fcaithao1.jpg?alt=media&token=66c6105a-f624-4d1a-8045-09fa7f202221
Bắp Mỹ,373419b8-b75b-4421-b6e5-6baf13a60918,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FB%E1%BA%AFp%20M%E1%BB%B9%2Fee492f14-50c2-4058-9344-373ff0d1b3f0?alt=media&token=fd6403a5-3611-494c-bde3-6965c6fe364e
Nho Mỹ,3854e48e-b69c-4ab6-ae4b-99f28650b4e1,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2FNhomy%2Fnho-khong-hat-den-my.jpg?alt=media&token=1cfdd125-ddeb-40ac-9ac1-76c2495ca594
Bí đỏ,878be5be-7ef7-4912-b0a5-fd18f6cd4201,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2F3eaa3597-bd54-4994-99a1-433f2bdce1c1.jpg?alt=media&token=463b0b5c-9bd5-4405-9d81-4351fed47676
Cải ngọt,cbf585bb-6a0e-4eb7-9c3b-e0b373028fcc,https://bizweb.dktcdn.net/100/164/964/files/tac-dung-cua-rau-cai-ngot-voi-suc-khoe-con-nguoi-nhu-the-nao.jpg?v=1599216211805
Nho Mỹ,3c59ef98-feae-442d-85f1-39285e665a17,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2FNhomy%2Fimages.jpg?alt=media&token=163e3435-150c-4f22-b499-ccdc478e0ec6
Bắp nếp,20955018-a13b-4e52-afd0-ede45b7a417f,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FB%E1%BA%AFp%20n%E1%BA%BFp%2F0396659f-38c3-4a9d-9275-88e264b6b719?alt=media&token=1f6fc82b-1313-4864-a665-b8be93e5d992
Đậu xanh,71694d49-0fd5-47f8-ba53-3ba5beb8ebce,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%C4%90%E1%BA%ADu%20xanh%2F6bc433ef-1323-4db6-869a-f2eb4cc98477?alt=media&token=03898e27-8207-49dd-a7ee-c191d887b453
Bạc hà,793e3062-fda8-4ebe-bec3-82c0e6e479f9,https://th.bing.com/th/id/OIP.utBpA8QVaIEORY45BnAqwgHaE_?rs=1&pid=ImgDetMain
Hành lá,de77e80f-9035-4149-b2c0-be762d2012bf,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2F-0-----nh------i-di---n-eva-1656640882-27-width640height480_schema_article.jpg?alt=media&token=b7d62730-da83-488d-bc98-25f421c3ed2b
Ớt Chuông,f126a3d5-9bf6-4cc2-80d6-f967979332c1,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%E1%BB%9At%20Chu%C3%B4ng%2Fc61dbac9-592e-4df9-8866-b189f14955f7?alt=media&token=4325e06c-9be7-44f4-95e8-2c8c87202a66
Ớt xiêm,9efb3a6b-7c00-44e8-ae77-af67b604f973,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%E1%BB%9At%20xi%C3%AAm%2F3f89b328-9c79-4394-9ae9-f1db5facef05?alt=media&token=d47fdb29-60c4-4264-952b-49c5490bf80d
Bí đỏ,2fc69a3e-4eaa-4f83-816e-86e208e1080f,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2Fbi-do-ho-lo-hc_4b09542bba49493d808d642fed983deb_master_e5ea2249d40c49c4adda7670bf3d8406_1024x1024.webp?alt=media&token=023adcea-1419-4349-bbb5-9bfd76d2a6de
Bí đỏ,4fdbc9d0-775d-47f7-a49b-14472af06506,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2Funnamed.jpg?alt=media&token=c96cc24e-54a7-4ab5-b2c9-303f989e0030
Dưa Chuột,f0bb7ae4-e6ef-4d01-95ae-4227920d52b3,https://th.bing.com/th/id/OIP.clKpl_5160T2Y2Ozu8sKCgHaE8?w=750&h=500&rs=1&pid=ImgDetMain
Rau húng quế,0bcba2bf-abd4-4f27-9703-a96c4def237a,https://th.bing.com/th/id/OIP.cruQhBf_NFKcHs-IHFEJfwHaHa?w=550&h=550&rs=1&pid=ImgDetMain
Nho Mỹ,abecbec8-7832-40e8-95e3-3bbafd24b73f,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2FNhomy%2F176334586_2780710228925832_1031098562861576247_n.jpg?alt=media&token=7281dcba-f236-4051-a453-72f7beadb8b1
Xoài Keo,c69cd8ff-0939-4b5e-8861-867ac4ed7298,https://foody24h.vn/uploads/collections/xoai-keo-9499-2021-11-181.jpg
Rau tần ô,9bef9087-6d9c-4bd7-8248-b96202905dcd,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%20Rau%20t%E1%BA%A7n%20%C3%B4%2Fc33a7def-1eab-4549-b4b6-64ae91b9c46a?alt=media&token=00ed3bb6-e8d2-4b76-a08a-1401f44c439e
Gừng,6a8c4009-0e0f-4323-bc3e-7b60ccca13cb,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FG%E1%BB%ABng%2F2d688046-e694-4dff-a629-86b0b21e7f9d?alt=media&token=27b86543-526b-46eb-83a2-495a6f166d4e
Đậu cô ve,ebb9d192-e38a-4051-a092-e774cdc399f1,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%C4%90%E1%BA%ADu%20c%C3%B4%20ve%2Fb56545a3-a1c3-4074-839f-ca1dc769b956?alt=media&token=a9170469-6e78-44a6-83ca-5c4be432caab
Rau cải ngồng ,7abda2b1-1aa6-4e94-954f-574a7a9b5c7b,https://thucphamdongxanh.com/wp-content/uploads/2019/09/20190406102352H%E1%BA%A1t-gi%E1%BB%91ng-c%E1%BA%A3i-ng%E1%BB%93ng.jpg
Rau húng quế,c35ac233-cca3-4666-86b8-afaa54d074ba,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20h%C3%BAng%20qu%E1%BA%BF%2F86bb11e7-4629-4fd0-8ac3-f0df7f44426d?alt=media&token=97f87643-d505-448a-97d2-4ca59b061db8
Hành củ,8f8b3419-d960-40d0-b8a2-e93a3aa6e029,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FH%C3%A0nh%20c%E1%BB%A7%2Fde6e87ce-824c-487b-a319-1463ae6b7e52?alt=media&token=963edf32-a9cc-4f9a-853d-e876a8cea056
Củ đậu,9c679bd2-a436-4dc5-8419-e7869190adf7,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FC%E1%BB%A7%20%C4%91%E1%BA%ADu%2F56b670cd-05d8-418f-8866-144f785388b5?alt=media&token=b15d52e9-d69e-4187-a340-e454816d2fef
Giá đỗ,0552d60c-8b38-4dd5-95be-c152645c4d5a,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FGi%C3%A1%20%C4%91%E1%BB%97%2Fbf6d186b-3aa8-4aaf-beae-f8e49091dd48?alt=media&token=7683a011-f554-4153-957c-c67996eea044
Chanh không hạt,e507ce8a-6599-4816-98c9-54b2bcbe50cf,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FChanh%20kh%C3%B4ng%20h%E1%BA%A1t%2F130a3de7-c968-4807-bc44-ce11efbbacd7?alt=media&token=b4714abc-a8f8-4094-b3e5-e45e25e136cf
Dâu tây,55937f90-5b80-48f0-aa99-29562a04e141,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FD%C3%A2u%20t%C3%A2y%2Fa4b34716-aeac-4c65-9263-a9c42377d3a6?alt=media&token=ea3ec51c-007c-41e1-8ec9-26a31457e241
Ớt hiểm,e5a5a0d4-1de7-403f-8464-34ee1ba1416e,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%E1%BB%9At%20hi%E1%BB%83m%2Feaac19c5-a012-4ad1-8549-0065fa6f2102?alt=media&token=37a591ee-02aa-4f58-997b-aa79074f4739
Riềng,7fcba7ba-7f74-4287-bfab-efab930514fa,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRi%E1%BB%81ng%2Fb2a6d47c-3cba-4150-ac12-7e5863b64557?alt=media&token=15b97c13-990b-4de4-93b9-c40c43107e8d
Sả cây,10ba22c6-04ff-459a-b8a4-b0d2e0438956,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FS%E1%BA%A3%20c%C3%A2y%2F1b8008ac-bca5-4ea5-a2ee-2cd19cc0c954?alt=media&token=1b1638cf-8702-4eb1-b523-892a1d11111e
Su su,ac9cf104-d861-4f46-83ff-b218f1ee1f89,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FSu%20su%2F771593e9-f67e-4e06-8b66-14a4814cee81?alt=media&token=627271ec-49dd-4881-895e-cf01d9f373a6
Ớt xiêm xanh,0704609b-65b9-4ca9-857d-b9f5ed9ef750,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%E1%BB%9At%20xi%C3%AAm%20xanh%2Fd0e984ca-d99b-4bb7-b2d1-591173e99736?alt=media&token=f21376c2-735e-47a5-80b9-e643fc18583e
Khoai môn,ad8f9da9-7062-472e-9893-52a4c999a664,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FKhoai%20m%C3%B4n%2F160ed3ec-dffe-4007-873a-37f080a347ce?alt=media&token=00654f0b-3ebf-4486-84e3-7b53a80ba1fa
Khoai mỡ,d70d9dbd-eb54-4888-875f-4da384a5a0a5,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FKhoai%20m%E1%BB%A1%2Fb44e15bd-286e-4533-9f5b-0f24ec751003?alt=media&token=faec9605-bd53-4782-87b1-df0cd0580c3b
Nấm hương,bb049c61-90d8-409c-ab84-baa8444a4fe0,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FN%E1%BA%A5m%20h%C6%B0%C6%A1ng%2F842b6e4c-d191-4865-95c1-b39755cf47dc?alt=media&token=7d307a67-b563-4a34-a291-25ca638f7b2f
Nấm đùi gà,aee7e386-fe84-4b16-8b65-4d844e686ce5,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FN%E1%BA%A5m%20%C4%91%C3%B9i%20g%C3%A0%2F098dcab5-b329-4c6a-90c7-7354001c61d9?alt=media&token=bcc99709-96de-4b15-9f21-f356ee1c659f
Bắp tím,201ba376-2945-4e67-a5da-bc72e08ce70d,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FB%E1%BA%AFp%20t%C3%ADm%2F5dbce8e2-e827-4433-86fe-02f69327fb7d?alt=media&token=0a5bb15d-1616-4d53-b90a-098427da5250
Nấm mèo đen,124b6214-1b3a-4649-9f0d-b9c690a70e66,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FN%E1%BA%A5m%20m%C3%A8o%20%C4%91en%2F7d0b7995-a2f7-48f1-a3eb-a3cdbdf57f92?alt=media&token=77bb067e-fa41-4b40-aa02-f8955a27bf87
Rau lang,a85e7c1e-115f-4f55-a4e5-dd6ce73fd290,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20lang%2Fdfcfc2df-8402-4e88-bce9-7f9c4a513889?alt=media&token=08d23dc7-d83d-4de2-8dab-6a6b1ef2bd16
Xà lách xoong,db3696a1-0136-4c07-a4cb-a206e724cfe6,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FX%C3%A0%20l%C3%A1ch%20xoong%2F0bbb1486-ba61-4418-a0d9-4d8a567cc5f0?alt=media&token=9fb44894-793d-4b85-aaa7-a583bf533448
Chanh đào,2d02e101-5ee9-41ec-b347-a971001b5977,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FChanh%20%C4%91%C3%A0o%2F15be2f96-4a37-4cbc-a9e2-00fbded069d9?alt=media&token=8ad5b822-1c9f-40bc-a41c-af18fee2176a
Rau diếp cá,b9e205bb-0b77-427d-a59d-008eaee578ca,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20di%E1%BA%BFp%20c%C3%A1%2F94faec4c-b54e-475b-9981-a95afb7eb959?alt=media&token=33edc9f6-2577-4aec-9e8e-179f9839b389
Bắp cải,485a8f26-f2fe-4e74-9c0f-7f16bf65a9e8,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FB%E1%BA%AFp%20c%E1%BA%A3i%2Fbdab327d-3693-4e7e-8d90-a566ac3da432?alt=media&token=7551042f-4367-449f-b54e-52ecb7327c64
Cải ngọt,0adf1bbd-9d32-43a9-a6af-e1ba5ddbdf4e,https://cdn.tgdd.vn/Files/2020/06/29/1266434/loi-ich-cua-cai-ngot-doi-voi-suc-khoe-202201060105487684.jpeg
Mướp hương,ec2fa345-6c98-4539-818b-019518468e46,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FM%C6%B0%E1%BB%9Bp%20h%C6%B0%C6%A1ng%2F44f00c07-d150-4d48-a57b-53e8bcae9ffe?alt=media&token=ad0eaffc-6cca-4368-9a42-64f3ab9d9a17
Cà tím,b86b17df-2a9c-4b26-9238-5f5e966ddae4,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FC%C3%A0%20t%C3%ADm%2F26fa320b-e815-433c-894a-6fccdf162b04?alt=media&token=dc9ab548-da47-493c-b565-fe1893bdeb54
Nấm đông cô,177968e0-43e0-4917-95b2-64f6e26d2e25,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FN%E1%BA%A5m%20%C4%91%C3%B4ng%20c%C3%B4%2F637a208e-3905-4e69-bdc0-9c2af3fdbea9?alt=media&token=c70c0747-7367-4e07-a7e3-1347063165f8
Rau húng quế,301d330c-7c93-4d98-afe6-f495b8f38552,https://cdn.tgdd.vn/Products/Images/8820/223351/bhx/rau-hung-que-tui-50g-202011111025460004.jpg
Rau húng quế,4f375901-b00e-49e5-9c77-eb0a598dd6ba,https://th.bing.com/th/id/OIP.OiMIevr0DB3mqKbtDQ2GIwHaFl?w=626&h=472&rs=1&pid=ImgDetMain
Rau húng quế,e7105aee-0637-4191-adce-c424c573408f,https://www.epicgardening.com/wp-content/uploads/2023/09/basket-of-organic-basil-leaves.jpg
Bí Xanh,063c670e-811e-4b5a-93ff-89c1af30ef33,https://th.bing.com/th/id/OIP.tTkwh8IjwtnCZnzrrJgI4wHaEL?rs=1&pid=ImgDetMain
Cam sành,92527e2a-ed91-4d1e-bede-46028b75a1a3,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2FNhomy%2Fimages%20(1).jpg?alt=media&token=8bd1f6af-ac84-4356-b904-f861aa87ca67
Khoai tây,9713b024-ec7a-4d46-a57a-29842c4df02e,https://th.bing.com/th/id/R.aa673e4f2ae66e0e54d7065ee75522bd?rik=F4I1o%2bLu0eTf%2bg&riu=http%3a%2f%2fsamtuoingoclinh.com%2fuploads%2fsuc-khoe%2f2017_04%2fkhoai-tay-4.jpg&ehk=rnGLlxGSdqb%2fYknFbIntI1dYP05D6BW7EZGDzzvtxZg%3d&risl=&pid=ImgRaw&r=0
Cà rốt đỏ,7148f50f-8161-499d-8447-25a280ca2bbd,https://th.bing.com/th/id/OIP.1-EKlSyO4C9nfDVL7Tkg0QHaE8?rs=1&pid=ImgDetMain
Cải Bẹ Xanh,edeb67be-7462-4217-933a-328ca1ce611a,https://th.bing.com/th/id/OIP.XlE53i1ArPasu2cBBuYhrQHaFC?rs=1&pid=ImgDetMain
Rau mồng tơi,bfa825ec-c0dc-4cb7-8e71-e56351a93406,https://th.bing.com/th/id/R.40f3c4be90e62b2f956c520460c49d90?rik=jdR7GFS9wCKdIA&pid=ImgRaw&r=0
Rau mồng tơi,75e094a1-bd7c-4dd9-a8c9-e4e28ac625bb,https://th.bing.com/th/id/R.d3629ae9d495328d6b732306388620bc?rik=tqvEeq9jMeqzkg&pid=ImgRaw&r=0
Cỏ ngọt,b22da9ef-9a0f-4936-9440-aa4fb45dfb48,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FC%E1%BB%8F%20ng%E1%BB%8Dt%2F36d767f2-56cb-4b35-8468-0f46d8cbf656?alt=media&token=02362e07-04f7-4d31-be76-2c6c720a1c63
Rau mồng tơi,c5598931-19f2-4588-8f61-094d038c7269,https://th.bing.com/th/id/OIP.P6lDS-yDsina8J_EIoYQggHaHA?rs=1&pid=ImgDetMain
Dưa hấu đỏ,8e991b5f-b25e-44d3-a883-78f4f0384a05,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FD%C6%B0a%20h%E1%BA%A5u%20%C4%91%E1%BB%8F%2Fb2801d75-6b9a-456d-8651-eb98de4b17d2?alt=media&token=4d759829-a61d-44e9-8c74-665f2116ce7a
Đinh lăng,b8fe1fc1-e6c0-4c7f-beb9-801851d68a5b,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%C4%90inh%20l%C4%83ng%2F5182f063-1cc8-41c1-8e50-ae0684ca32a2?alt=media&token=0900b7ab-d4fd-4550-8283-bc4762886b93
Dưa lưới,f5943e14-3c6e-46fb-a01d-fab1712c0421,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FD%C6%B0a%20l%C6%B0%E1%BB%9Bi%2Fca441828-1c1b-4138-bdf5-6cb5462ef286?alt=media&token=ef42a582-3fce-48de-a920-f67e8593bdfc
Chanh dây,c47a943f-1ffc-4246-a43a-3c23ec599115,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FChanh%20d%C3%A2y%2Fce0352e5-a6fe-4788-969e-64e9225ac5a5?alt=media&token=4cf0876b-1d92-479f-a171-7edb3f34495d
Rau má,0d7ec92b-4140-4a1f-afcf-2b842938d50e,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20m%C3%A1%2F25b3738d-e179-4a97-adf1-1d94655748bd?alt=media&token=91ffb8ae-b884-489c-a050-977726d89d83
Cà rốt đỏ,0aefea5a-03b3-44e5-9a69-03b727d22dfa,https://th.bing.com/th/id/OIP.kUcSmhgviTv_qo39G2ZHVgHaEJ?rs=1&pid=ImgDetMain
Dưa Chuột,18e7fd6b-a0fb-4017-8689-21a9ee7020cc,https://th.bing.com/th/id/OIP.mLGWLg7Cgwh_cZMtwOhEugHaDt?w=1400&h=700&rs=1&pid=ImgDetMain
Rau mồng tơi,91ab155e-8de9-4e11-819c-619e3e3a2b80,https://th.bing.com/th/id/OIP.VYyLfxkFtDcMkVVZ94GdVwHaEp?w=1170&h=734&rs=1&pid=ImgDetMain
Rau răm,1809e731-c2cb-4155-8036-dd52131e92a2,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20r%C4%83m%2Fb27d8694-6efa-4fe6-afee-362ac7b7d76a?alt=media&token=51def3f2-b125-4d72-b58e-c925695ba2c5
Hành tây,7286579f-c9fb-4fbb-be0c-0c6293e95ce9,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FH%C3%A0nh%20t%C3%A2y%2F65011215-1a40-41cf-9daa-2f6b9dc3ee1f?alt=media&token=f0f662c6-466e-47b1-b4d6-ba86a7c5dcc6
Cải Bẹ Xanh,a5612187-6268-4a5a-8d31-5b03e1c73e49,https://th.bing.com/th/id/R.1c0a6f3dfd7f26d039324fb8f9684416?rik=qXGfKGJEeJvSnw&pid=ImgRaw&r=0
Xà lách búp,47b6d73a-e73e-4f68-89be-68e1d2ed2709,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT116gIHzd9bGbHiCuKr5v81oiHuYjWUy_Mjg&s
Rau muống,5dedae03-b9c1-442e-aefe-6170e7a2aa6b,https://www.vinmec.com/static/uploads/small_20201118_142430_628828_rau_muong_max_1800x1800_jpg_2948d3f87d.jpg
Cải ngọt,e639b464-6d0a-4a96-a45b-d5ce23ccd3d8,https://chotaigia.com.vn/public/images/images/san-pham/rau/cai-ngot.jpg
Đậu đen,7c98427d-2501-4b7e-b69e-5d4496734bc7,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%C4%90%E1%BA%ADu%20%C4%91en%2F14903e0e-8b8a-4e61-a6aa-9c16969ec4fa?alt=media&token=97f43ca9-c215-4c7f-84ce-6531752afa59
Đậu đỏ,359b6a3c-b2df-4cac-a951-74217b325175,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2F%C4%90%E1%BA%ADu%20%C4%91%E1%BB%8F%2Fe4046d60-42a0-4de5-a938-3187959160d0?alt=media&token=18f94f2b-7a04-4818-9451-11ea08f85b35
Xà lách búp,77a202f0-8daf-4dfa-abae-9d9c1491cfe9,https://image-handler-prod.s3-ap-southeast-1.amazonaws.com/supplier/654/PRODUCT_IMAGE/14bc01e5-b0ba-4120-aa4b-8728a91a564c.png
Nấm sò,703d54fb-7fb5-4a59-9ac1-ee22461c152b,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FN%E1%BA%A5m%20s%C3%B2%2Fe9e0ab72-25b3-4009-8541-16580608b731?alt=media&token=a90219a6-81a0-44bd-bd60-821f3d284ba5
Nấm thủy tiên,850c5d2c-fd68-4f8e-8c6c-d806e3b4ebb7,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FN%E1%BA%A5m%20th%E1%BB%A7y%20ti%C3%AAn%2F3d226071-5b67-4507-a799-a37515f4b6c7?alt=media&token=c4e6e440-f79b-4e71-aa8d-242926fb62ea
Bí đỏ,f0e54b90-057e-4c7c-8e66-1b7fbfc0276d,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2Fimages%20(2).jpg?alt=media&token=77777ba6-08f4-4509-96db-9f1e7a2d7cdc
